PROVINCE / LGU,Distance (km),Distance (mi),2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Bago,494.58,307.32,10.9756,15.7408,4.2379,11.533,9.8465,9.2339,8.9375,9.8006,9.2042,8.8676
Baguio,207.78,129.11,19.4495,22.7149,18.2938,13.6415,14.418,9.6729,9.3391,9.6504,11.1791,9.7934
Bagulin,232.47,144.45,-,-,3.4368,9.2487,0,10.351,10.3147,10.7132,6.7575,8.8267
Bagumbayan,976.63,606.85,7.1986,15.81,11.4865,11.0334,0,9.9017,9.983,9.5916,7.5911,9.4993
Bais,603.87,375.22,5.9468,6.3614,12.386,8.854,10.9913,8.3633,5.651,7.6582,6.7524,8.3615
Bakun,251.89,156.51,-,9.2232,4.9599,6.1406,0,8.0963,8.4747,7.1969,7.2048,3.3392
Balabac,855.5,531.58,-,-,-,-,0,6.42,6.4483,9.0165,5.0391,6.1963
Balabagan,853.86,530.56,-,-,-,-,-,-,-,10.3682,9.5633,6.9448
Balamban,542.16,336.88,12.6267,13.3134,10.6403,7.7937,0,11.1166,11.0936,9.4598,7.4071,8.4633
Balanga,48.49,30.13,19.1182,21.1463,16.303,10.5123,13.0262,10.7175,10.3227,9.6649,10.6887,11.0805
Balangiga,614.67,381.94,-,5.0078,3.8777,8.5459,0,7.442,7.2512,7.1881,6.949,4.5175
Balangkayan,600.9,373.38,-,-,-,6.4708,0,9.2291,9.2081,6.8448,5.3892,5.9038
Balaoan,256.25,159.23,-,13.4141,10.8207,9.3481,0,9.8898,9.8346,9.2833,8.2901,9.8559
Balasan,415.61,258.25,-,6.5037,6.1254,6.5346,0,11.8703,11.6892,10.4049,8.2259,8.4134
Balatan,281.96,175.2,-,-,6.3738,6.6419,0,10.8747,10.4112,7.2748,4.4465,7.0423
Balayan,76.35,47.44,9.4873,10.4395,6.4513,8.6976,0,7.9521,7.792,10.0798,4.85,9.1052
Balbalan,322.96,200.67,-,13.6196,6.8984,8.3699,0,5.8282,5.6082,4.3044,7.8571,6.7239
Baleno,359.68,223.5,-,-,5.9938,5.6683,0,6.4083,6.2474,4.7739,5.125,5.129
Baler,145.4,90.35,18.2722,18.43,11.8038,12.715,0,13.2034,12.4367,11.1831,9.3939,8.6007
Balete (AK),371.2,230.65,-,-,9.7268,10.1019,0,9.824,9.5691,7.9993,7.0909,7.9488
Balete (BS),85.87,53.36,-,-,7.4253,8.0471,0,8.4878,10.6117,7.4026,5.8542,6.3538
Baliangao,718.01,446.15,-,0,8.2886,9.6065,0,8.3982,7.6813,6.5255,4.5677,4.8726
Balilihan,627.79,390.09,-,13.8949,12.9448,9.9661,0,11.1764,10.1769,8.6029,6.1836,6.9934
Balindong,820.72,509.97,-,-,-,-,-,-,-,7.0378,6.7419,8.3308
Balingasag,770.17,478.56,-,17.3438,13.7567,10.7355,0,11.3612,10.7334,8.9193,7.2837,8.5838
Balingoan,749.76,465.88,-,10.0346,7.3642,6.8471,0,10.2321,10.3443,9.1425,4.285,9.02
Baliwag,42.11,26.17,8.1419,8.5177,1.3126,7.5113,0,14.4785,13.9215,12.8887,9.2506,10.4303
Ballesteros,429.62,266.95,-,-,4.6775,10.3356,0,10.7767,8.7865,9.265,3.2231,7.5559
Baloi,801.18,497.83,-,0,0.7274,2.6836,0,10.5998,11.8495,10.5192,7.8728,8.3792
Balud,371.2,230.65,-,-,-,-,-,6.0911,5.6714,2.7885,0.0539,4.608
Balungao,149.8,93.08,-,-,3.7757,9.0365,0,9.0466,10.3697,9.2654,8.2077,8.5403
Bamban,88.51,55,-,-,9.9181,5.8136,0,8.0702,10.3562,9.6008,6.3055,8.9969
Bambang,201.41,125.15,14.484,13.8172,9.131,8.3526,0,10.8661,8.4706,8.0722,7.555,9.956
Banate,445.54,276.85,-,7.2643,7.0165,5.9677,0,11.4893,10.2467,9.4792,9.1072,8.2475
Banaue,259.2,161.06,-,13.3461,10.4782,10.9539,0,11.0721,9.9173,7.6241,7.8001,8.1474
