LGUs,Distance (km),Distance (mi)
Kalibo,354.69,220.39
Kalilangan,855.69,531.7
Kalingalan Caluang,965.6,600
Kananga,543.14,337.49
Kapai,804.17,499.69
Kapalong,933.5,580.05
Kapangan,225.26,139.97
Kapatagan (LN),804.76,500.05
Kapatagan (LS),863.59,536.61
Kasibu,195.85,121.69
Katipunan,720.24,447.53
Kauswagan,787.57,489.37
Kawayan,488.05,303.26
Kawit,17.17,10.67
Kayapa,197.73,122.86
Kiamba,1035.23,643.27
Kiangan,244.27,151.78
Kibawe,894.01,555.51
Kiblawan,1000.11,621.44
Kibungan,237.29,147.45
Kidapawan,951.85,591.45
Kinoguitan,748.31,464.98
Kitaotao,888.61,552.16
Kitcharao,758.47,471.29
Kolambugan,786.65,488.8
Koronadal,992.9,616.96
Kumalarang,794.77,493.85
La Carlota,509.65,316.68
La Castellana,523.45,325.26
La Libertad (NR),564.24,350.6
La Libertad (ZN),735.76,457.18
La Paz (AA),344.04,213.78
La Paz (AS),865.85,538.01
La Paz (LE),593.12,368.55
La Paz (TC),97.68,60.7
La Trinidad,212.87,132.27
Laak,917.49,570.1
Labangan,796.7,495.04
Labason,744.11,462.37
Labrador,182.14,113.17
Lacub,346.47,215.29
Lagangilang,337.43,209.67
Lagawe,247.3,153.66
Lagayan,349.54,217.19
Lagonglong,764.7,764.7
Lagonoy,290.24,180.35
Laguindingan,767.48,476.89
Lake Sebu,1015.13,630.77
Lakewood,786.38,488.64
Lala,795.97,494.59
Lallo,407.88,253.44
Lambayong,953.33,592.37
Lambunao,424.57,263.82
Lamut,231.66,143.95
Lamitan,890.17,553.13
Langiden,336.4,209.03
Languyan,1040.39,646.47
Lantapan,850.15,528.26
Lantawan,893.85,555.41
Lanuza,812.3,504.74
Laoac,169.29,105.19
Laoag,406.94,252.86
Laoang,490.86,305
Lapinig,531.57,330.3
Lapu Lapu,574.74,357.12
Lapuyan,792.96,492.72
Larena,657.89,408.8
Las Navas,504.71,313.61
Las Nieves,407.88,510.11
Las Pinas,13.77,8.56
Lasam,393.51,244.52
Laua-An,399.53,248.26
Laur,113.63,70.61
Laurel,60.21,37.42
Lavezares,428.18,266.06
Lawaan,603.68,375.11
Lazi,678.36,421.51
Lebak,947.47,588.73
Leganes,458.26,284.75
Legazpi,339.32,210.84
Lemery (BS),70.46,43.78
Lemery (IO),430.38,267.43
Leon,451.06,280.28
Leyte,591.85,367.76
Lezo,521.9,324.29
Lian,80.72,50.16
Lianga,865.2,537.61
Libacao,373.81,232.27
Libagon,651.29,404.69
Libertad (AE),332.53,206.62
Libertad (MO),765.6,475.72
Libmanan,245.71,152.67
Libjo,694.87,431.77
Libon,301.62,187.42
Libona,797.6,495.61
Libungan,903.03,561.12
Licab,108.84,67.63
Licuan-Baay,332.39,206.54
Lidlidda,302.96,188.25
Ligao,314.29,195.29
Lila,651.8,405.01
Liliw,71.18,44.23
Liloan (CU),570.52,354.5
Liloan (SL),668.38,415.31
Liloy,741.84,460.96
Limasawa,682.44,424.05
Limay,40.7,25.29
Linamon,791.74,491.97
Linapacan,363.14,225.65
Lingayen,178.67,111.02
Lingig,938.73,583.3
Lipa,74.64,46.38
Llanera,118.87,73.86
Llorente,607.74,377.63
Loay,644.97,400.76
Lobo,107.03,66.51
Loboc,642.39,399.16
Looc (OM),124.58,77.41
Looc (RN),284.45,176.75
Loon,613.75,381.37
Lope De Vega,470.81,292.55
Lopez,158.73,98.63
Lopez Jaena,736.36,457.55
Loreto (AS),881.18,547.54
Loreto (DI),686.95,426.85
Los Banos,55.92,34.75
Luba,304.3,189.08
Lubang,122.01,75.81
Lubao,56.49,35.1
Lubuagan,308.74,191.84
Lucban,81.32,51.31
Lucena,101.44,63.03
Lugait,780.52,484.99
Lugus,987.64,613.69
Luisiana,72.57,45.09
Lumba-Bayabao,840.46,522.23
Lumbaca-Unayan,840.06,521.99
Lumban,61.04,37.93
Lumbatan,836.08,519.52
Lumbayanague,838.06,520.75
Luna (AO),417.69,259.54
Luna (IA),276.12,171.58
Luna (LU),259.05,160.97
Lupao,144.19,89.6
Lupi,223.18,138.68
Lupon,1017.29,632.12
Lutayan,986.22,612.81
Luuk,958.68,595.69
Ma-Ayon,405.43,251.92
Maasim,1064.81,661.64
Maasin (IO),650.31,404.08
Maasin (SL),650.41,404.15
Mabalacat,83.22,51.71
Mabinay,580.05,360.43
Mabini (BL),652,405.13
Mabini (BS),93.61,58.17
Mabini (CV),969.52,602.43
Mabini (PS),197.9,122.97
Mabitac,51.53,32.02
Mabuhay,825.44,512.9
Macabebe,45.76,28.43
Macalelon,156.15,97.02
Macarthur,604.38,375.54
Maco,963.83,598.9
Maconacon,340.01,211.27
Macrohon,660.74,410.56
Madalag,369.25,229.44
Madalum,819.87,509.45
Madamba,824.09,512.06
Maddela,209.84,130.39
Madrid,804.04,499.6
Madridejos,473.29,294.09
Magalang,77.38,48.08
Magallanes (AN),792.78,492.61
Magallanes (CE),50.72,31.52
Magallanes (SO),366.31,227.61
Magarao,259.9,161.49
Magdalena,64.09,39.82
Magdiwang,285.94,177.68
Magpet,946.91,588.39
Magsaysay (DS),935.86,581.52
Magsaysay (LN),796.65,495.02
Magsaysay (MO),770.73,478.91
Magsaysay (OM),252.17,770.73
Magsaysay (PN),415.61,258.25
Magsingal,350.28,217.66
Maguing,846.37,525.91
Mahaplag,620.51,385.57
Mahatao,656.81,408.12
Mahayag,765.51,475.66
Mahinog,732.39,455.09
Maigo,784.73,487.61
Maimbung,959.6,596.27
Mainit,747.8,464.66
Maitum,1022.86,635.57
Majayjay,72.16,44.84
Makati,5.72,3.55
Makato,349.89,217.41
Makilala,958.78,595.76
Malabang,844.25,524.59
Malabon,11.8,7.33
Malabuyoc,604.79,375.8
Malalag,1013.36,629.67
Malangas,804.4,499.83
Malapatan,1067.3,663.19
Malasiqui,160.43,99.69
Malay,314.43,195.38
Malaybalay,845.97,525.66
Malibcong,331.68,206.09
Malilipot,329.73,204.88
Malimono,732.15,454.94
Malinao (AK),358.46,222.74
Malinao (AY),323.54,201.04
Malita,1039.62,645.99
Malitbog (BK),796.82,495.12
Malitbog (SL),659.07,409.53
Malolos,36.36,22.59
Malungon,1026.03,637.54
Maluso,988.9,558.55
Malvar,64.96,40.36
Mamasapano,933.36,579.96
Mambajao,718.1,446.21
Mamburao,161.46,100.33
Mambusao,392.24,243.72
Manabo,319.06,198.25
Manaoag,170.72,106.08
Manapla,466.35,289.77
Manay,1020.06,633.84
Mandaluyong,6.61,4.11
Mandaon,361.97,224.92
Mandaue,572.24,355.57
Mangaldan,176.06,109.4
Mangatarem,152.98,95.06
Mangudadatu,971.23,603.49
Manila,-,-
Manito,352.98,219.33
Manjuyod,594.13,369.18
Mankayan,253.71,157.65
Manolo Fortich,809.66,503.1
Mansalay,234.73,145.86
Manticao,776.05,482.21
Manukan,713.05,443.07
Mapanas,518.58,322.23
