PROVINCE / LGU,Distance (km),Distance (mi),2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Bamban,88.51,55,-,-,-,13.0139,0,10.693,14.9522,13.2073,11.0546,10.0314
Bambang,201.41,125.15,-,-,-,15.651,0,15.967,17.0486,11.4051,11.4072,11.3722
Banate,445.54,276.85,-,-,-,12.4951,0,16.8509,15.8782,15.2972,11.4037,11.3103
Banaue,259.2,161.06,-,-,-,14.9115,0,15.666,16.6347,12.0934,12.0077,12.1579
Banaybanay,1009.21,627.1,-,-,-,13.9154,0,16.0471,16.9633,12.2094,11.8996,10.8314
Banayoyo,299.86,186.32,-,-,-,14.8704,0,15.74,16.6366,13.1823,11.4407,10.9492
Banga (AK),364.31,226.37,-,-,-,16.0477,0,16.0966,13.4322,13.2855,10.4905,11.4147
Banga (SC),998.93,620.71,-,-,-,16.1531,0,16.9327,17.1274,13.6507,11.7361,12.0909
Bangar,187.94,116.78,-,-,-,11.7609,0,17.0601,17.2579,13.878,11.3824,11.8761
Bangued,337.38,209.64,-,-,-,15.8288,0,15.4164,15.7542,12.3551,10.6341,10.5623
Bangui,440.41,273.66,-,-,-,14.5259,0,17.0764,17.379,14.1423,11.58,11.5387
Bani,212.62,132.12,-,-,-,10.8587,0,16.595,16.6433,13.4667,11.4092,11.5545
Banisilan,885.27,550.08,-,-,-,15.9679,0,16.6906,16.457,13.2268,11.3681,11.2077
Bansalan,982.54,610.52,-,-,-,14.7619,0,17.1771,17.4568,14.0036,12.4397,12.3491
Bansud,198.24,123.18,-,-,-,16.0063,0,11.2324,16.408,13.3507,11.3224,11.3725
Bantay,339.61,211.03,-,-,-,14.3263,0,15.5794,15.9764,14.1023,11.6497,11.8932
Bantayan Island,497.59,309.19,-,-,-,16.0804,0,15.8655,17.0955,10.9265,10.418,11.3895
Banton,217.65,135.24,-,-,-,-,0,0,16.0793,8.8308,10.991,11.2948
Baras (CT),380.69,236.55,-,-,-,-,-,16.1118,13.4906,13.1773,11.5251,9.394
Baras (RL),32.55,20.22,-,-,-,15.5694,0,17.4781,16.2429,13.7701,11.4675,11.5105
Barbaza,392.55,243.92,-,-,-,2.3889,0,15.7818,15.7405,12.6104,10.7889,10.7351
Barcelona,392.47,243.87,-,-,-,15.5857,0,14.7599,15.9865,12.3215,11.3916,10.7922
Barili,567.7,352.75,-,-,-,11.465,0,15.0628,14.9928,12.8282,9.5287,11.1895
Barira,872.53,542.16,-,-,-,-,-,-,-,11.8857,10.9536,10.9657
Barlig,277.58,172.48,-,-,-,12.1795,0,15.8028,16.9638,12.3044,11.4333,11.4425
Barobo,874.38,543.32,-,-,-,15.7144,0,15.6221,16.9861,13.2643,11.1783,11.4903
Barotac Nuevo,450.47,279.91,-,-,-,14.4051,0,6.5409,15.8996,13.2926,10.3015,11.3495
Barotac Viejo,443.91,275.83,-,-,-,12.7536,0,15.886,16.0352,13.676,7.4192,9.7748
Baroy,790.48,491.18,-,-,-,14.0472,0,14.7817,14.1615,11.3885,11.3376,10.7629
Barugo,545.15,338.74,-,-,-,16.0496,0,16.6537,16.8823,12.8609,10.8792,11.3402
