PROVINCE / LGU,Distance (km),Distance (mi),2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Bislig,921.7,572.72,6.8764,6.6193,8.5311,4.7571,5.6878,5.1513,5.3128,5.7518,4.6566,3.2607
Boac,156.31,97.13,8.3266,7.6361,8.5125,6.1467,0,4.284,4.1913,4.1327,4.7462,3.3164
Bobon,450.34,279.83,-,-,5.4831,3.6941,0,3.7729,5.9539,3.7665,4.0415,2.7953
Bocaue,24.6,15.29,7.1724,9.0198,8.9437,4.0939,0,5.2254,5.0999,5.9437,5.0864,4.5204
Bogo,512.22,318.28,8.274,7.321,8.0921,3.2241,4.4262,3.9367,5.5853,4.9269,4.0715,2.7736
Bokod,303,188,-,3.7495,6.3083,4.2774,0,4.2538,6.8256,5.2839,4.8128,3.0077
Bolinao,231.86,144.07,7.7788,7.5361,6.9894,4.434,0,3.085,4.2491,4.5882,4.3118,3.1208
Boliney,311.31,193.44,-,-,-,1.8662,0,3.6792,3.1388,3.8048,3.2967,2.0169
Boljoon,614.43,381.79,-,8.7768,7.7392,3.4335,0,4.419,5.9702,6.0244,6.1364,3.8764
Bombon,260.36,161.78,-,-,5.0946,2.7295,0,3.7731,3.0881,2.8781,0.8427,2.1132
Bongabon,118.05,73.35,-,-,4.4967,5.5139,0,4.7905,4.0562,3.7502,4.4326,2.8229
Bongabong,210.37,130.72,6.922,6.9968,7.3869,4.5607,0,4.1933,3.8587,3.9518,4.341,3.8299
Bongao,1055.67,655.97,-,-,-,-,-,-,-,4.1501,4.1174,3.0251
Bonifacio,782.84,486.44,-,5.8189,8.3644,4.6287,0,5.079,5.0829,4.3919,4.5173,3.3387
Bontoc (MP),392,244,8.3269,8.1219,5.5036,4.0677,0,4.6332,4.1337,4.4234,4.158,2.7581
Bontoc (SL),640.82,398.19,-,-,4.3486,3.2293,0,4.5525,7.087,5.4874,4.7703,3.3185
Borbon,527.51,327.78,-,7.7155,7.3997,3.1533,0,4.064,5.3527,5.2372,4.2588,3.4418
Borongan,582.93,362.22,5.1595,4.0222,6.709,3.9048,4.0336,2.8072,5.049,6.9518,3.0812,2.4053
