PROVINCE / LGU,Distance (km),Distance (mi),2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Binmaley,177.72,110.43,-,7.4016,7.046,6.1104,0,5.561,5.4724,5.2767,2.2369,2.6917
Binuangan,753.74,468.35,-,7.2776,8.4349,4.8082,0,4.9947,5.4189,5.5296,2.1483,2.4001
Biri,421.68,262.02,-,-,-,3.6161,0,3.9094,4.2566,5.3911,2.3064,3.9879
Bislig,921.7,572.72,5.8622,9.2212,9.9292,5.8486,6.2435,6.2805,5.2901,6.4829,3.1635,3.2451
Boac,156.31,97.13,6.9145,6.0482,7.7392,6.0246,0,6.0122,6.0522,5.7339,2.5859,2.9008
Bobon,450.34,279.83,-,-,7.1756,4.2388,0,4.4817,4.1916,4.2752,2.3645,2.3923
Bocaue,24.6,15.29,4.8151,6.1143,8.1378,5.7856,0,6.1164,6.4717,6.2934,2.837,3.3606
Bogo,512.22,318.28,7.0484,9.5451,9.7244,7.0023,8.4689,6.6305,6.4904,5.916,4.6468,4.9447
Bokod,303,188,-,0,8.7719,5.5543,0,5.4218,4.5513,5.4172,2.699,2.3681
Bolinao,231.86,144.07,7.549,7.6953,7.1248,5.6703,0,5.3452,5.7411,5.5085,2.6172,2.6308
Boliney,311.31,193.44,-,-,-,3.4426,0,4.6882,4.7614,4.5166,1.7699,3.1628
Boljoon,614.43,381.79,-,8.7841,10.8416,6.663,0,5.4495,6.4273,6.4851,2.1511,4.2276
Bombon,260.36,161.78,-,-,5.5956,5.7319,0,4.9582,5.4549,0.7232,0.8388,3.0775
Bongabon,118.05,73.35,-,-,0.8269,6.2878,0,5.5296,5.5502,5.378,2.1814,2.4765
Bongabong,210.37,130.72,7.4823,7.3872,7.2389,5.6733,0,5.3562,6.0939,6.2384,3.5353,3.9954
Bongao,1055.67,655.97,-,-,-,-,-,-,-,4.2385,2.7719,3.0611
Bonifacio,782.84,486.44,-,6.5767,7.6801,5.2703,0,5.7605,5.8364,5.6906,2.9316,2.8471
Bontoc (MP),392,244,7.2862,6.3333,6.7331,4.8496,0,4.6776,4.6379,6.4951,1.8374,2.2281
Bontoc (SL),640.82,398.19,-,-,4.998,4.884,0,1.2901,4.9817,4.3199,2.7462,1.3197
Borbon,527.51,327.78,-,7.3805,8.0797,6.0913,0,6.1189,4.9934,5.4765,2.6715,2.394
Borongan,582.93,362.22,7.3765,7.9437,7.6424,5.4497,4.8711,5.817,5.5694,3.8757,2.7788,4.318
Boston,952.06,591.58,-,4.9299,4.7197,4.2634,0,3.8754,3.9651,5.0794,2.3973,1.8854
Botolan,123.57,76.79,-,4.4936,3.8295,2.3779,0,5.497,5.5135,5.284,2.2331,2.5714
Braulio E. Dujali,943.31,586.15,-,3.9803,7.79,5.8729,0,4.9028,4.9537,4.3146,2.4256,2.2739
Buadiposo-Buntong,822.66,511.18,-,-,-,-,-,-,-,3.4674,2.4502,2.0323
Bubong,820.5,509.83,-,-,-,-,-,-,-,5.0561,2.1848,2.3549
Bucay,329.99,205.05,-,7.1693,9.2142,5.6714,0,5.103,5.4771,5.563,2.4745,3.6125
Bucloc,318.18,197.71,-,-,-,5.1288,0,4.8559,4.9775,2.5252,2.0568,3.2022
Buenavista (AN),789.96,490.86,8.4402,8.7542,8.9858,5.6825,0,6.0558,5.3392,5.7092,2.2346,2.6519
Buenavista (BL),607.1,377.23,-,6.4759,8.7582,5.8378,0,5.3475,5.0523,5.0953,2.6843,2.5466
Buenavista (GS),473.22,294.05,8.2267,7.7454,8.0898,5.9541,0,5.7475,5.6113,5.5374,2.6943,2.3653
Buenavista (ME),182.35,113.31,6.8744,7.9277,8.4457,6.093,0,5.3903,5.2765,5.2838,2.9239,2.6477
