PROVINCE / LGU,Distance (km),Distance (mi),2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Bislig,921.7,572.72,30.3422,33.6584,32.154,37.1497,39.8226,36.7919,36.6395,33.1566,31.7829,31.3609
Boac,156.31,97.13,31.1878,29.5558,28.0241,38.4326,0,36.5474,37.7148,32.2533,33.9728,32.5939
Bobon,450.34,279.83,-,-,18.9975,25.4462,0,31.8857,32.5941,19.889,24.8024,22.2528
Bocaue,24.6,15.29,21.5195,29.1982,25.9439,28.5649,0,35.2043,39.761,35.6624,30.1638,31.6469
Bogo,512.22,318.28,33.4133,36.1339,28.258,38.6249,41.5066,36.9819,38.4421,32.7862,37.1603,35.7643
Bokod,303,188,-,11.5611,25.9273,30.8249,0,36.5345,37.9071,33.1982,28.622,25.4984
Bolinao,231.86,144.07,25.9314,25.7026,19.7469,30.0132,0,31.9306,34.9612,31.4135,29.2746,27.1529
Boliney,311.31,193.44,-,-,-,15.2467,0,23.0931,25.4287,23.1464,17.2763,19.5362
Boljoon,614.43,381.79,-,26.8905,28.6873,35.8191,0,37.799,37.2977,34.1854,20.5534,26.8779
Bombon,260.36,161.78,-,-,16.8736,31.4804,0,33.2296,30.4587,5.1213,17.4081,23.3704
Bongabon,118.05,73.35,-,-,7.0096,38.0709,0,36.8569,36.402,31.4955,31.3264,30.3865
Bongabong,210.37,130.72,29.7512,29.5347,23.3377,33.7675,0,35.1433,36.1223,32.1694,31.7943,32.9345
Bongao,1055.67,655.97,-,-,-,-,-,-,-,25.9892,26.4921,27.3586
Bonifacio,782.84,486.44,-,22.5983,23.3982,34.3835,0,37.7371,37.6722,30.4887,29.9545,28.3584
Bontoc (MP),392,244,32.3894,29.4713,26.0106,34.7012,0,35.654,34.6043,33.1779,28.2305,29.4967
Bontoc (SL),640.82,398.19,-,-,18.8095,31.9039,0,26.3411,37.3263,28.6037,30.5487,24.3556
Borbon,527.51,327.78,-,23.1558,22.4212,30.3619,0,36.8517,33.5357,28.0729,24.9652,24.3066
Borongan,582.93,362.22,25.7933,20.1827,25.1306,36.9165,32.4197,33.2934,34.7174,32.7834,30.2479,31.2312
Boston,952.06,591.58,-,15.9182,15.4712,31.8666,0,33.2654,34.1168,29.4112,26.3574,27.2681
Botolan,123.57,76.79,-,26.8207,9.9385,21.7032,0,35.438,36.1791,30.1144,26.4545,30.0796
Braulio E. Dujali,943.31,586.15,-,18.3215,20.4463,38.1159,0,35.43,37.5843,32.8691,31.1372,28.7861
Buadiposo-Buntong,822.66,511.18,-,-,-,-,-,-,-,26.5201,25.0705,23.515
Bubong,820.5,509.83,-,-,-,-,-,-,-,29.3309,27.9748,20.0224
Bucay,329.99,205.05,-,29.4856,26.2645,35.7389,0,31.9804,37.3848,35.9972,28.2978,32.3988
Bucloc,318.18,197.71,-,-,-,18.328,0,24.841,24.977,20.979,21.2527,18.4795
Buenavista (AN),789.96,490.86,33.6512,35.1755,28.3332,34.1312,0,37.8619,37.1513,31.0127,26.5592,29.6794
Buenavista (BL),607.1,377.23,-,22.2494,23.8642,34.0497,0,37.894,37.3924,33.7851,30.5745,27.5011
Buenavista (GS),473.22,294.05,23.404,28.4667,24.9333,36.3601,0,35.8046,36.431,33.04,27.3502,32.078
Buenavista (ME),182.35,113.31,28.0066,29.1482,23.9901,32.7633,0,37.1228,37.1861,30.8824,31.4462,28.394
